"subject" "activity" "average_mean" "average_standard_deviation"
13 "SITTING" -0.498864171673993 -0.971614675209029
13 "STANDING" -0.511294929068831 -0.973488324742158
13 "WALKING" -0.0996192234656832 -0.322358364868426
13 "WALKING_DOWNSTAIRS" -0.0582178556565087 -0.283386205699099
13 "WALKING_UPSTAIRS" -0.206510439531774 -0.454771797975796
14 "LAYING" -0.478718255922756 -0.934842463238265
14 "SITTING" -0.500429006908068 -0.960128611305275
14 "STANDING" -0.511858205016753 -0.955643634646465
14 "WALKING" -0.177740629970004 -0.39895837100264
14 "WALKING_DOWNSTAIRS" 0.0520165644020808 -0.0451783638523098
14 "WALKING_UPSTAIRS" -0.0675839973893266 -0.154654281147419
15 "LAYING" -0.503206390416014 -0.962181718324916
15 "SITTING" -0.497422802402046 -0.97025459222907
15 "STANDING" -0.501770733626754 -0.966132857181246
15 "WALKING" -0.165837482937167 -0.446391143626077
15 "WALKING_DOWNSTAIRS" -0.018343557439798 -0.209767527583023
15 "WALKING_UPSTAIRS" -0.167364829544122 -0.421318509545474
16 "LAYING" -0.512261230093331 -0.974313487683983
16 "SITTING" -0.500715990291599 -0.968810838932806
16 "STANDING" -0.511973313638373 -0.977221575462315
16 "WALKING" -0.226528081859032 -0.539749355518122
16 "WALKING_DOWNSTAIRS" -0.097646379462392 -0.333898926802489
16 "WALKING_UPSTAIRS" -0.247318746084742 -0.518665903063102
17 "LAYING" -0.493147100517735 -0.969502280717029
17 "SITTING" -0.511807902533892 -0.982201351581439
17 "STANDING" -0.523527623853675 -0.98342571462704
17 "WALKING" -0.180876916238073 -0.437683311620571
17 "WALKING_DOWNSTAIRS" -0.117045048974242 -0.349846604199914
17 "WALKING_UPSTAIRS" -0.180887757725832 -0.424126942064918
18 "LAYING" -0.504350354328079 -0.987915725314685
18 "SITTING" -0.500879188018935 -0.98682249891547
18 "STANDING" -0.51159610403823 -0.977252557799917
18 "WALKING" -0.235871294315281 -0.553086396517316
18 "WALKING_DOWNSTAIRS" -0.232639629533945 -0.52241384561708
18 "WALKING_UPSTAIRS" -0.282511419626969 -0.570427044938871
19 "LAYING" -0.509003422068129 -0.975283077013509
19 "SITTING" -0.485545520880056 -0.9708062616978
19 "STANDING" -0.502360007746994 -0.968736065118306
19 "WALKING" 0.0185747466575533 -0.166549887439714
19 "WALKING_DOWNSTAIRS" 0.207842446636077 0.102040595148446
19 "WALKING_UPSTAIRS" -0.0845329172028788 -0.309249674295568
20 "LAYING" -0.50402180870232 -0.971673243807487
20 "SITTING" -0.490150258459881 -0.962054556825528
20 "STANDING" -0.483051016351879 -0.924119798111249
20 "WALKING" -0.00743287435070826 -0.183373669065847
20 "WALKING_DOWNSTAIRS" 0.0205673516885596 -0.112178541969717
20 "WALKING_UPSTAIRS" -0.110537891611682 -0.300987852818651
21 "LAYING" -0.49217039828296 -0.966463192717172
21 "SITTING" -0.505868080101233 -0.980383901240642
21 "STANDING" -0.515461450059273 -0.965203536826694
21 "WALKING" -0.12972532338521 -0.349500177592578
21 "WALKING_DOWNSTAIRS" -0.0434805464459461 -0.235810184772458
21 "WALKING_UPSTAIRS" -0.177786205194939 -0.419599595109684
22 "LAYING" -0.488323361132555 -0.949517000464268
22 "SITTING" -0.483133445839389 -0.957196402985694
22 "STANDING" -0.498255676157369 -0.955314916002886
22 "WALKING" -0.0556136405290072 -0.26807311689122
22 "WALKING_DOWNSTAIRS" -0.0321664187679554 -0.262597418835227
22 "WALKING_UPSTAIRS" -0.0840679501617965 -0.29935642051746
23 "LAYING" -0.502068483700922 -0.974838249659091
23 "SITTING" -0.492153863023393 -0.960073119210339
23 "STANDING" -0.507486524729542 -0.962661937054367
23 "WALKING" -0.0151920652623677 -0.178675924182244
23 "WALKING_DOWNSTAIRS" 0.0856423076854714 -0.096587253434725
23 "WALKING_UPSTAIRS" -0.138862085159026 -0.380009725559834
24 "LAYING" -0.499245803186717 -0.977079799002525
24 "SITTING" -0.496419075664324 -0.977869422566845
24 "STANDING" -0.503253505697188 -0.965586593825209
24 "WALKING" -0.20820533795512 -0.505709536494514
24 "WALKING_DOWNSTAIRS" -0.121025608942815 -0.361825458960094
24 "WALKING_UPSTAIRS" -0.224183976119461 -0.501053199934977
25 "LAYING" -0.450866870566094 -0.859226441427107
25 "SITTING" -0.49641281595442 -0.978816477948252
25 "STANDING" -0.502494367163354 -0.97601896464783
25 "WALKING" -0.261609986650979 -0.578702555047461
25 "WALKING_DOWNSTAIRS" -0.202515388020726 -0.489388597208359
25 "WALKING_UPSTAIRS" -0.282541876168821 -0.588295610674266
26 "LAYING" -0.508710403510201 -0.980657343927432
26 "SITTING" -0.492601756042066 -0.971816617586636
26 "STANDING" -0.504876753283632 -0.975943695888616
26 "WALKING" -0.170675802716523 -0.466805034954854
26 "WALKING_DOWNSTAIRS" -0.0661373995186115 -0.284848807776182
26 "WALKING_UPSTAIRS" -0.193503264709355 -0.467172712379008
27 "LAYING" -0.509062502687154 -0.985017043521703
27 "SITTING" -0.495477709500965 -0.981737422142857
27 "STANDING" -0.509779188132768 -0.977877930784091
27 "WALKING" -0.175650242052601 -0.454950979293647
27 "WALKING_DOWNSTAIRS" -0.0636421703057369 -0.297589565580647
27 "WALKING_UPSTAIRS" -0.235577658113458 -0.500441710464349
28 "LAYING" -0.535170511866983 -0.964252162746212
28 "SITTING" -0.497144560959832 -0.964937670239899
28 "STANDING" -0.489441887481676 -0.935392243072497
28 "WALKING" -0.174213213286403 -0.453530772337374
28 "WALKING_DOWNSTAIRS" -0.0270513374056252 -0.251741788748867
28 "WALKING_UPSTAIRS" -0.19566630324426 -0.451136779495425
29 "LAYING" -0.505500411371238 -0.988594156319719
29 "SITTING" -0.496017831658121 -0.982026481712121
29 "STANDING" -0.508231420141435 -0.985727862638695
29 "WALKING" -0.119527758730457 -0.394165626288159
29 "WALKING_DOWNSTAIRS" -0.0622532573329514 -0.295372120789495
29 "WALKING_UPSTAIRS" -0.136016812398584 -0.32789664862457
30 "LAYING" -0.496127699551121 -0.97131121374026
30 "SITTING" -0.492447529744965 -0.971669425166178
30 "STANDING" -0.487123238836514 -0.941460565007704
30 "WALKING" -0.145907370846527 -0.388133759487506
30 "WALKING_DOWNSTAIRS" -0.102448771145494 -0.332598011603382
30 "WALKING_UPSTAIRS" -0.221270619924211 -0.45655535663849
